t_s,Q_m3_s,V_face_m_s,v_duct_m_s,DP_system_Pa,DP_fan_Pa,C_v_mg_m3,C_p_mg_m3,C_tot_mg_m3,ppm_voc,P_electrica_W,M_captured_kg,C_Ethanol_mg_m3,W_L_Ethanol_mg_m3,hm_Ethanol_m_s,Jwall_Ethanol_mg_m2_s,C_Propyl acetate_mg_m3,W_L_Propyl acetate_mg_m3,hm_Propyl acetate_m_s,Jwall_Propyl acetate_mg_m2_s,C_1-Propanol_mg_m3,W_L_1-Propanol_mg_m3,hm_1-Propanol_m_s,Jwall_1-Propanol_mg_m2_s,C_Isopropanol_mg_m3,W_L_Isopropanol_mg_m3,hm_Isopropanol_m_s,Jwall_Isopropanol_mg_m2_s,ok_V_face,ok_v_duct,ok_C_limit,ok_LFL,Re_duct0,dp_duct0_Pa,dt
1,0.903153,0.501752,7.18707,246.365,246.364,147.5,193.013,340.513,644.062,412.047,0.000156889,49.3887,49.1275,0.00132988,0.065681,85.8399,85.483,0.00104526,0.0897252,8.12656,8.08866,0.00117277,0.00953062,4.14458,4.12547,0.00115907,0.00480387,True,False,True,True,137933,53.4951,1
2,0.902174,0.501208,7.17927,246.217,246.217,278.009,362.713,640.721,1213.93,411.353,0.000451395,93.0881,92.5957,0.00132916,0.123729,161.792,161.119,0.00104469,0.169023,15.317,15.2455,0.00117214,0.0179536,7.81173,7.7757,0.00115844,0.00904945,True,False,True,True,137783,53.3802,1
3,0.90083,0.500461,7.16858,246.173,246.174,393.621,511.979,905.6,1718.76,410.667,0.000866481,131.8,131.102,0.00132817,0.175052,229.074,228.121,0.00104392,0.239135,21.6867,21.5855,0.00117126,0.0254009,11.0603,11.0093,0.00115758,0.0128032,True,False,True,True,137578,53.2229,1
4,0.899171,0.499539,7.15537,246.223,246.222,496.188,643.355,1139.54,2166.62,409.993,0.00138712,166.143,165.263,0.00132695,0.220463,288.765,287.561,0.00104295,0.301168,27.3377,27.2099,0.00117018,0.0319901,13.9423,13.8779,0.00115651,0.0161245,False,False,True,True,137325,53.0289,1
5,0.89723,0.498461,7.13993,246.352,246.351,587.338,759.082,1346.42,2564.63,409.323,0.00200008,196.664,195.621,0.00132551,0.26068,341.811,340.385,0.00104183,0.356109,32.3597,32.2082,0.00116892,0.0378259,16.5035,16.4272,0.00115527,0.019066,False,False,False,True,137028,52.8026,1
6,0.895042,0.497246,7.12252,246.551,246.551,668.506,861.128,1529.63,2919.05,408.654,0.00269375,223.842,222.653,0.0013239,0.296343,389.048,387.424,0.00104056,0.404827,36.8316,36.6591,0.0011675,0.0430008,18.7843,18.6973,0.00115386,0.0216744,False,False,False,True,136694,52.5479,1
7,0.892642,0.495912,7.10342,246.812,246.812,740.95,951.22,1692.17,3235.38,407.99,0.00345794,248.099,246.78,0.00132212,0.328017,431.208,429.405,0.00103916,0.448095,40.823,40.6315,0.00116593,0.0475967,20.8199,20.7233,0.00115231,0.0239909,False,False,False,True,136327,52.2692,1
8,0.890051,0.494473,7.0828,247.127,247.127,805.774,1030.87,1836.65,3518.44,407.325,0.00428372,269.805,268.368,0.0013202,0.356196,468.934,466.97,0.00103765,0.48659,44.3945,44.1859,0.00116424,0.0516856,22.6413,22.5362,0.00115063,0.0260519,False,False,False,True,135932,51.9692,1
9,0.887293,0.492941,7.06085,247.488,247.489,863.944,1101.41,1965.36,3772.44,406.657,0.00516327,289.282,287.739,0.00131815,0.381318,502.787,500.678,0.00103604,0.520909,47.5994,47.3754,0.00116243,0.055331,24.2759,24.163,0.00114885,0.0278893,False,False,False,True,135511,51.6509,1
10,0.884392,0.491329,7.03776,247.892,247.892,916.305,1164,2080.3,4001.08,405.989,0.00608975,306.815,305.176,0.001316,0.403767,533.259,531.019,0.00103435,0.551575,50.4842,50.2463,0.00116053,0.0585884,25.7471,25.6272,0.00114697,0.0295312,False,False,False,True,135067,51.317,1
11,0.88136,0.489645,7.01364,248.332,248.332,963.597,1219.64,2183.24,4207.58,405.314,0.0070572,322.65,320.923,0.00131374,0.423878,560.782,558.421,0.00103257,0.579048,53.0898,52.8392,0.00115854,0.0615066,27.076,26.9497,0.001145,0.0310021,False,False,False,True,134605,50.9693,1
12,0.878218,0.487899,6.98864,248.804,248.803,1006.47,1269.23,2275.7,4394.77,404.637,0.0080604,337.004,335.198,0.00131139,0.441945,585.73,583.26,0.00103073,0.60373,55.4517,55.1895,0.00115647,0.0641283,28.2806,28.1484,0.00114296,0.0323236,False,False,False,True,134125,50.6101,1
13,0.874973,0.486096,6.96282,249.302,249.302,1045.48,1313.54,2359.01,4565.11,403.949,0.00909478,350.067,348.186,0.00130897,0.458227,608.433,605.863,0.00102883,0.625971,57.601,57.3281,0.00115433,0.0664907,29.3767,29.2392,0.00114085,0.0335144,False,False,False,True,133629,50.2406,1
14,0.871643,0.484246,6.93631,249.825,249.826,1081.12,1353.24,2434.36,4720.76,403.256,0.0101564,362.002,360.054,0.00130648,0.472947,629.178,626.515,0.00102687,0.646081,59.5649,59.2822,0.00115213,0.0686267,30.3783,30.2358,0.00113867,0.034591,False,False,False,True,133120,49.8626,1
15,0.868237,0.482354,6.90921,250.371,250.37,1113.83,1388.92,2502.75,4863.59,402.558,0.0112417,372.955,370.944,0.00130392,0.486304,648.214,645.465,0.00102486,0.664327,61.3671,61.0752,0.00114988,0.0705648,31.2975,31.1503,0.00113645,0.0355679,False,False,False,True,132600,49.4777,1
16,0.864761,0.480423,6.88155,250.934,250.934,1143.98,1421.09,2565.07,4995.24,401.849,0.0123477,383.05,380.981,0.00130131,0.498467,665.761,662.932,0.0010228,0.680943,63.0283,62.7279,0.00114758,0.0723298,32.1447,31.9932,0.00113417,0.0364575,False,False,False,True,132069,49.0863,1
17,0.861223,0.478457,6.8534,251.514,251.514,1171.9,1450.21,2622.11,5117.16,401.129,0.0134718,392.399,390.275,0.00129864,0.509587,682.009,679.105,0.00102071,0.696133,64.5666,64.2582,0.00114523,0.0739433,32.9292,32.7738,0.00113185,0.0372708,False,False,False,True,131529,48.6895,1
18,0.857633,0.476463,6.82483,252.108,252.109,1197.88,1476.66,2674.54,5230.58,400.4,0.0146115,401.097,398.921,0.00129593,0.519795,697.126,694.152,0.00101858,0.710079,65.9977,65.6819,0.00114284,0.0754246,33.6591,33.4999,0.00112949,0.0380174,False,False,False,True,130981,48.2885,1
19,0.853996,0.474442,6.79589,252.715,252.716,1222.16,1500.8,2722.96,5336.61,399.663,0.0157651,409.227,407.003,0.00129318,0.529206,711.257,708.216,0.00101642,0.722934,67.3355,67.0126,0.00114041,0.0767902,34.3414,34.1786,0.00112709,0.0387058,False,False,False,True,130425,47.8839,1
20,0.850316,0.472398,6.7666,253.334,253.334,1244.97,1522.91,2767.87,5436.19,398.914,0.0169305,416.864,414.593,0.00129039,0.537918,724.53,721.425,0.00101423,0.734836,68.592,68.2624,0.00113795,0.0780544,34.9822,34.816,0.00112466,0.039343,False,False,False,True,129863,47.4763,1
21,0.846599,0.470333,6.73702,253.962,253.963,1266.49,1543.25,2809.74,5530.17,398.156,0.0181064,424.07,421.755,0.00128757,0.54602,737.055,733.89,0.00101201,0.745904,69.7778,69.4417,0.00113546,0.07923,35.5869,35.4175,0.0011222,0.0399355,False,False,False,True,129296,47.0664,1
22,0.842848,0.468249,6.70717,254.599,254.6,1286.89,1562.06,2848.96,5619.26,397.386,0.0192913,430.902,428.544,0.00128471,0.553586,748.929,745.706,0.00100976,0.75624,70.902,70.5597,0.00113294,0.0803279,36.1603,35.9877,0.00111971,0.0404889,False,False,False,True,128723,46.6544,1
23,0.839066,0.466148,6.67707,255.244,255.245,1306.33,1579.54,2885.87,5704.12,396.604,0.0204841,437.409,435.01,0.00128183,0.560684,760.239,756.96,0.00100749,0.765936,71.9727,71.6244,0.0011304,0.0813578,36.7063,36.5308,0.00111719,0.041008,False,False,False,True,128145,46.241,1
24,0.835259,0.464033,6.64678,255.896,255.896,1324.92,1595.85,2920.77,5785.29,395.814,0.0216838,443.634,441.195,0.00127892,0.567371,771.057,767.724,0.00100521,0.775071,72.9969,72.6429,0.00112783,0.0823281,37.2287,37.0502,0.00111466,0.0414971,False,False,False,True,127564,45.8266,1
25,0.831424,0.461902,6.61626,256.554,256.554,1342.77,1611.16,2953.93,5863.27,395.009,0.0228894,449.613,447.136,0.00127598,0.573697,781.45,778.064,0.0010029,0.783713,73.9808,73.6212,0.00112524,0.0832461,37.7305,37.5492,0.00111209,0.0419598,False,False,False,True,126978,45.4111,1
26,0.827584,0.459769,6.5857,257.224,257.223,1360,1625.58,2985.58,5938.47,394.211,0.0241001,455.38,452.865,0.00127303,0.579712,791.473,788.036,0.00100058,0.791929,74.9296,74.5646,0.00112264,0.0841188,38.2144,38.0304,0.00110952,0.0423997,False,False,False,True,126392,44.9968,1
27,0.823823,0.45768,6.55578,257.944,257.943,1376.65,1639.23,3015.88,6011.19,393.518,0.0253155,460.957,458.405,0.00127013,0.585476,801.165,797.678,0.000998301,0.799804,75.8472,75.4769,0.00112008,0.0849552,38.6824,38.4957,0.001107,0.0428213,False,False,False,True,125817,44.5931,1
28,0.820044,0.45558,6.5257,258.668,258.668,1392.81,1652.19,3045,6081.77,392.813,0.0265349,466.369,463.782,0.00126722,0.59099,810.572,807.035,0.000996008,0.807336,76.7377,76.3622,0.00111751,0.0857553,39.1365,38.9472,0.00110446,0.0432246,False,False,False,True,125240,44.1891,1
29,0.81625,0.453472,6.49551,259.397,259.396,1408.55,1664.56,3073.12,6150.5,392.098,0.0277577,471.639,469.017,0.00126428,0.596284,819.732,816.147,0.000993701,0.814569,77.6049,77.2243,0.00111492,0.0865236,39.5788,39.3869,0.0011019,0.0436118,False,False,False,True,124661,43.7854,1
30,0.81244,0.451356,6.46519,260.129,260.128,1423.93,1676.43,3100.36,6217.64,391.369,0.0289835,476.788,474.13,0.00126133,0.601385,828.68,825.048,0.000991379,0.821537,78.4521,78.0664,0.00111232,0.0872637,40.0109,39.8164,0.00109932,0.0439849,False,False,False,True,124079,43.3818,1
31,0.808615,0.44923,6.43475,260.864,260.864,1439,1687.86,3126.85,6283.42,390.627,0.0302119,481.832,479.14,0.00125835,0.606315,837.447,833.768,0.000989043,0.828271,79.2821,78.8914,0.0011097,0.0879791,40.4342,40.2372,0.00109673,0.0443455,False,False,False,True,123495,42.9785,1
32,0.804779,0.447099,6.40422,261.603,261.603,1453.79,1698.91,3152.71,6348.04,389.875,0.0314424,486.787,484.061,0.00125537,0.611096,846.06,842.334,0.000986694,0.834802,80.0974,79.7018,0.00110706,0.0886728,40.85,40.6505,0.00109413,0.0446951,False,False,False,True,122909,42.576,1
33,0.80093,0.444961,6.3736,262.344,262.344,1468.37,1709.65,3178.02,6411.68,389.11,0.0326748,491.667,488.907,0.00125236,0.615744,854.541,850.769,0.000984332,0.841153,80.9004,80.4998,0.00110441,0.0893473,41.2595,41.0576,0.00109151,0.0450351,False,False,False,True,122321,42.174,1
34,0.796862,0.442701,6.34123,263.151,263.152,1482.79,1720.16,3202.96,6474.67,388.325,0.0339084,496.497,493.703,0.00124918,0.620212,862.937,859.117,0.000981829,0.847256,81.6952,81.2896,0.0011016,0.0899956,41.6648,41.4604,0.00108873,0.0453619,False,False,False,True,121700,41.7512,1
35,0.792717,0.440398,6.30824,263.982,263.982,1497.11,1730.5,3227.61,6537.19,387.524,0.0351431,501.292,498.463,0.00124592,0.624571,871.269,867.403,0.000979272,0.85321,82.4841,82.0735,0.00109873,0.090628,42.0672,41.8602,0.0010859,0.0456807,False,False,False,True,121067,41.3225,1
36,0.788563,0.43809,6.27518,264.814,264.814,1511.35,1740.7,3252.05,6599.35,386.709,0.0363784,506.058,503.195,0.00124265,0.628855,879.554,875.641,0.000976703,0.859063,83.2683,82.8528,0.00109585,0.0912497,42.4672,42.2577,0.00108305,0.045994,False,False,False,True,120432,40.8951,1
37,0.784399,0.435777,6.24205,265.649,265.648,1525.52,1750.79,3276.31,6661.23,385.879,0.0376144,510.803,507.906,0.00123937,0.633074,887.802,883.841,0.000974121,0.864826,84.0492,83.6286,0.00109295,0.0918619,42.8654,42.6534,0.00108019,0.0463026,False,False,False,True,119796,40.4689,1
38,0.780225,0.433458,6.20883,266.485,266.484,1539.65,1760.79,3300.44,6722.93,385.033,0.0388509,515.534,512.603,0.00123607,0.637235,896.024,892.017,0.000971525,0.87051,84.8276,84.4021,0.00109004,0.0924657,43.2624,43.0479,0.00107731,0.0466069,False,False,False,True,119159,40.0439,1
39,0.776041,0.431134,6.17554,267.322,267.322,1553.75,1770.73,3324.48,6784.51,384.172,0.0400876,520.257,517.29,0.00123275,0.641345,904.232,900.176,0.000968917,0.876125,85.6046,85.174,0.00108712,0.0930621,43.6587,43.4416,0.00107442,0.0469076,False,False,False,True,118520,39.6201,1
40,0.771849,0.428805,6.14218,268.162,268.161,1567.84,1780.63,3348.47,6846.03,383.297,0.0413245,524.975,521.973,0.00122941,0.645412,912.432,908.329,0.000966297,0.88168,86.381,85.9453,0.00108418,0.0936522,44.0546,43.835,0.00107151,0.047205,False,False,False,True,117880,39.1979,1
41,0.767649,0.426472,6.10875,269.002,269.002,1581.94,1790.5,3372.43,6907.57,382.405,0.0425616,529.694,526.657,0.00122606,0.649439,920.634,916.483,0.000963664,0.887181,87.1574,86.7166,0.00108122,0.0942365,44.4506,44.2284,0.00106859,0.0474995,False,False,False,True,117238,38.7769,1
42,0.76344,0.424133,6.07526,269.844,269.844,1596.04,1800.36,3396.4,6969.17,381.499,0.0437986,534.417,531.345,0.0012227,0.653431,928.844,924.644,0.000961019,0.892636,87.9347,87.4887,0.00107825,0.0948159,44.847,44.6222,0.00106566,0.0477915,False,False,False,True,116595,38.3575,1
43,0.759226,0.421792,6.04173,270.687,270.687,1610.17,1810.22,3420.4,7030.88,380.579,0.0450355,539.149,536.041,0.00121932,0.657395,937.068,932.819,0.000958362,0.89805,88.7132,88.2621,0.00107527,0.095391,45.2441,45.0167,0.00106271,0.0480814,False,False,False,True,115952,37.9397,1
44,0.755002,0.419445,6.00811,271.531,271.531,1624.34,1820.1,3444.44,7092.74,379.642,0.0462723,543.893,540.748,0.00121592,0.661331,945.312,941.014,0.000955693,0.903428,89.4938,89.0374,0.00107228,0.0959622,45.6421,45.4121,0.00105975,0.0483693,False,False,False,True,115307,37.5232,1
45,0.750772,0.417095,5.97445,272.377,272.376,1638.55,1830.01,3468.56,7154.78,378.691,0.0475088,548.651,545.47,0.00121251,0.665245,953.582,949.234,0.000953012,0.908775,90.2767,89.815,0.00106927,0.0965301,46.0414,45.8087,0.00105678,0.0486556,False,False,False,True,114661,37.1085,1
46,0.746532,0.41474,5.94072,273.224,273.223,1652.81,1839.95,3492.76,7217.06,377.723,0.048745,553.426,550.209,0.00120908,0.669138,961.882,957.484,0.000950317,0.914093,91.0624,90.5954,0.00106625,0.097095,46.4422,46.2068,0.00105379,0.0489403,False,False,False,True,114013,36.6951,1
47,0.742287,0.412382,5.90693,274.071,274.071,1667.13,1849.94,3517.07,7279.59,376.74,0.0499809,558.222,554.967,0.00120564,0.673015,970.217,965.768,0.000947611,0.919388,91.8515,91.3791,0.00106321,0.0976575,46.8446,46.6065,0.00105079,0.0492238,False,False,False,True,113365,36.2835,1
48,0.738032,0.410018,5.87307,274.919,274.92,1681.52,1859.99,3541.51,7342.42,375.739,0.0512164,563.039,559.747,0.00120218,0.676875,978.59,974.09,0.000944891,0.924661,92.6442,92.1664,0.00106016,0.0982176,47.2489,47.008,0.00104777,0.0495062,False,False,False,True,112715,35.8733,1
49,0.733774,0.407652,5.83919,275.769,275.769,1695.98,1870.1,3566.08,7405.56,374.726,0.0524514,567.881,564.551,0.00119871,0.680724,987.006,982.454,0.000942162,0.929919,93.4409,92.9576,0.0010571,0.0987761,47.6552,47.4116,0.00104475,0.0497877,False,False,False,True,112065,35.4651,1
50,0.729507,0.405282,5.80523,276.619,276.619,1710.52,1880.27,3590.8,7469.05,373.695,0.0536859,572.75,569.381,0.00119522,0.68456,995.467,990.863,0.000939418,0.93516,94.242,93.7531,0.00105402,0.0993328,48.0638,47.8173,0.00104171,0.0500683,False,False,False,True,111413,35.0583,1
51,0.725234,0.402908,5.77123,277.47,277.471,1725.15,1890.53,3615.68,7532.91,372.649,0.0549198,577.646,574.239,0.00119171,0.688388,1003.98,999.321,0.000936663,0.940389,95.0477,94.5532,0.00105093,0.0998882,48.4747,48.2254,0.00103865,0.0503482,False,False,False,True,110760,34.6533,1
52,0.720954,0.40053,5.73717,278.322,278.322,1739.86,1900.87,3640.73,7597.15,371.588,0.0561532,582.573,579.127,0.00118819,0.692207,1012.54,1007.83,0.000933895,0.945607,95.8583,95.3581,0.00104782,0.100442,48.8881,48.6359,0.00103558,0.0506276,False,False,False,True,110107,34.25,1
53,0.716668,0.398149,5.70307,279.176,279.175,1754.67,1911.29,3665.96,7661.81,370.512,0.057386,587.531,584.045,0.00118465,0.69602,1021.16,1016.39,0.000931115,0.950816,96.6742,96.1682,0.0010447,0.100996,49.3042,49.0491,0.0010325,0.0509065,False,False,False,True,109452,33.8485,1
54,0.712373,0.395763,5.66889,280.029,280.029,1769.57,1921.81,3691.38,7726.9,369.416,0.0586182,592.522,588.996,0.0011811,0.699827,1029.83,1025.01,0.000928321,0.956016,97.4955,96.9836,0.00104157,0.101548,49.723,49.465,0.0010294,0.0511849,False,False,False,True,108796,33.4486,1
55,0.708075,0.393375,5.63468,280.884,280.883,1784.58,1932.42,3717.01,7792.44,368.309,0.0598496,597.548,593.982,0.00117753,0.703631,1038.57,1033.69,0.000925516,0.961212,98.3224,97.8047,0.00103842,0.1021,50.1448,49.8838,0.00102629,0.0514631,False,False,False,True,108140,33.0506,1
56,0.703768,0.390982,5.60041,281.738,281.739,1799.7,1943.14,3742.84,7858.46,367.182,0.0610804,602.611,599.003,0.00117394,0.70743,1047.37,1042.43,0.000922697,0.966402,99.1554,98.6317,0.00103526,0.102651,50.5696,50.3056,0.00102316,0.051741,False,False,False,True,107482,32.6543,1
57,0.699458,0.388588,5.56611,282.595,282.594,1814.93,1953.96,3768.89,7924.96,366.043,0.0623104,607.71,604.06,0.00117034,0.711228,1056.23,1051.24,0.000919867,0.971591,99.9945,99.4647,0.00103208,0.103202,50.9975,50.7305,0.00102002,0.0520188,False,False,False,True,106824,32.26,1
58,0.695138,0.386188,5.53173,283.451,283.451,1830.28,1964.89,3795.17,7991.97,364.884,0.0635397,612.848,609.157,0.00116672,0.715024,1065.16,1060.11,0.000917022,0.976776,100.84,100.304,0.00102889,0.103753,51.4287,51.1586,0.00101687,0.0522964,False,False,False,True,106164,31.8672,1
