t_s,Q_m3_s,P_electrica_W
1,0.903153,412.047
2,0.902174,411.353
3,0.90083,410.667
4,0.899171,409.993
5,0.89723,409.323
6,0.895042,408.654
7,0.892642,407.99
8,0.890051,407.325
9,0.887293,406.657
10,0.884392,405.989
11,0.88136,405.314
12,0.878218,404.637
13,0.874973,403.949
14,0.871643,403.256
15,0.868237,402.558
16,0.864761,401.849
17,0.861223,401.129
18,0.857633,400.4
19,0.853996,399.663
20,0.850316,398.914
21,0.846599,398.156
22,0.842848,397.386
23,0.839066,396.604
24,0.835259,395.814
25,0.831424,395.009
26,0.827584,394.211
27,0.823823,393.518
28,0.820044,392.813
29,0.81625,392.098
30,0.81244,391.369
31,0.808615,390.627
32,0.804779,389.875
33,0.80093,389.11
34,0.796862,388.325
35,0.792717,387.524
36,0.788563,386.709
37,0.784399,385.879
38,0.780225,385.033
39,0.776041,384.172
40,0.771849,383.297
41,0.767649,382.405
42,0.76344,381.499
43,0.759226,380.579
44,0.755002,379.642
45,0.750772,378.691
46,0.746532,377.723
47,0.742287,376.74
48,0.738032,375.739
49,0.733774,374.726
50,0.729507,373.695
51,0.725234,372.649
52,0.720954,371.588
53,0.716668,370.512
54,0.712373,369.416
55,0.708075,368.309
56,0.703768,367.182
57,0.699458,366.043
58,0.695138,364.884
59,0.690815,363.713
60,0.686483,362.523
61,0.682145,361.316
62,0.6778,360.093
63,0.673453,358.857
64,0.669096,357.601
65,0.664736,356.332
66,0.660367,355.044
67,0.655993,353.74
68,0.651614,352.419
69,0.647229,351.084
70,0.642835,349.728
71,0.638438,348.358
72,0.634035,346.972
73,0.629626,345.568
74,0.625213,344.15
75,0.620792,342.713
76,0.616364,341.257
77,0.611933,339.788
78,0.607496,338.301
79,0.603053,336.797
80,0.598603,335.275
81,0.594151,333.738
82,0.589689,332.181
83,0.585224,330.609
84,0.580753,329.019
85,0.576279,327.414
86,0.571795,325.788
87,0.567309,324.148
88,0.562819,322.492
89,0.558323,320.817
90,0.553821,319.125
91,0.549313,317.414
92,0.544802,315.688
93,0.540284,313.943
94,0.54,316.06
95,0.54,318.451
