t_s,Q_m3_s,C_p_mg_m3
1,0.903153,193.013
2,0.902174,362.713
3,0.90083,511.979
4,0.899171,643.355
5,0.89723,759.082
6,0.895042,861.128
7,0.892642,951.22
8,0.890051,1030.87
9,0.887293,1101.41
10,0.884392,1164
11,0.88136,1219.64
12,0.878218,1269.23
13,0.874973,1313.54
14,0.871643,1353.24
15,0.868237,1388.92
16,0.864761,1421.09
17,0.861223,1450.21
18,0.857633,1476.66
19,0.853996,1500.8
20,0.850316,1522.91
21,0.846599,1543.25
22,0.842848,1562.06
23,0.839066,1579.54
24,0.835259,1595.85
25,0.831424,1611.16
26,0.827584,1625.58
27,0.823823,1639.23
28,0.820044,1652.19
29,0.81625,1664.56
30,0.81244,1676.43
31,0.808615,1687.86
32,0.804779,1698.91
33,0.80093,1709.65
34,0.796862,1720.16
35,0.792717,1730.5
36,0.788563,1740.7
37,0.784399,1750.79
38,0.780225,1760.79
39,0.776041,1770.73
40,0.771849,1780.63
41,0.767649,1790.5
42,0.76344,1800.36
43,0.759226,1810.22
44,0.755002,1820.1
45,0.750772,1830.01
46,0.746532,1839.95
47,0.742287,1849.94
48,0.738032,1859.99
49,0.733774,1870.1
50,0.729507,1880.27
51,0.725234,1890.53
52,0.720954,1900.87
53,0.716668,1911.29
54,0.712373,1921.81
55,0.708075,1932.42
56,0.703768,1943.14
57,0.699458,1953.96
58,0.695138,1964.89
59,0.690815,1975.94
60,0.686483,1987.11
61,0.682145,1998.39
62,0.6778,2009.81
63,0.673453,2021.35
64,0.669096,2033.02
65,0.664736,2044.83
66,0.660367,2056.77
67,0.655993,2068.86
68,0.651614,2081.09
69,0.647229,2093.47
70,0.642835,2106.01
71,0.638438,2118.69
72,0.634035,2131.54
73,0.629626,2144.54
74,0.625213,2157.71
75,0.620792,2171.05
76,0.616364,2184.55
77,0.611933,2198.23
78,0.607496,2212.09
79,0.603053,2226.13
80,0.598603,2240.36
81,0.594151,2254.77
82,0.589689,2269.37
83,0.585224,2284.17
84,0.580753,2299.17
85,0.576279,2314.37
86,0.571795,2329.78
87,0.567309,2345.4
88,0.562819,2361.24
89,0.558323,2377.29
90,0.553821,2393.57
91,0.549313,2410.08
92,0.544802,2426.82
93,0.540284,2443.8
94,0.54,2459.63
95,0.54,2474.32
96,0.54,2487.95
97,0.54,2500.59
98,0.54,2512.31
99,0.54,2523.18
100,0.54,2533.26
101,0.54,2542.61
102,0.54,2551.29
103,0.54,2559.33
104,0.54,2566.79
105,0.54,2573.71
106,0.54,2580.13
107,0.54,2586.09
108,0.54,2591.61
109,0.54,2596.73
110,0.54,2601.48
111,0.54,2605.89
112,0.54,2609.97
113,0.54,2613.76
114,0.54,2617.28
115,0.54,2620.54
116,0.54,2623.56
117,0.54,2626.37
118,0.54,2628.97
119,0.54,2631.38
120,0.54,2633.62
121,0.54,2635.7
122,0.54,2637.62
123,0.54,2639.41
124,0.54,2641.06
125,0.54,2642.6
126,0.54,2644.03
127,0.54,2645.35
128,0.54,2646.57
129,0.54,2647.71
130,0.54,2648.76
131,0.54,2649.74
132,0.54,2650.65
133,0.54,2651.49
134,0.54,2652.27
135,0.54,2652.99
136,0.54,2653.67
137,0.54,2654.29
138,0.54,2654.87
139,0.54,2655.4
140,0.54,2655.9
141,0.54,2656.36
142,0.54,2656.79
143,0.54,2657.18
144,0.54,2657.55
145,0.54,2657.89
146,0.54,2658.21
147,0.54,2658.5
148,0.54,2658.77
149,0.54,2659.02
150,0.54,2659.26
151,0.54,2659.48
152,0.54,2659.68
153,0.54,2659.86
154,0.54,2660.04
155,0.54,2660.2
156,0.54,2660.35
157,0.54,2660.48
158,0.54,2660.61
159,0.54,2660.73
160,0.54,2660.84
161,0.54,2660.94
162,0.54,2661.04
163,0.54,2661.13
164,0.54,2661.21
165,0.54,2661.28
166,0.54,2661.35
167,0.54,2661.42
168,0.54,2661.48
169,0.54,2661.54
170,0.54,2661.59
171,0.54,2661.64
172,0.54,2661.68
173,0.54,2661.72
174,0.54,2661.76
175,0.54,2661.8
176,0.54,2661.83
177,0.54,2661.86
178,0.54,2661.89
179,0.54,2661.92
180,0.54,2661.94
181,0.54,2661.96
182,0.54,2661.98
183,0.54,2662
184,0.54,2662.02
185,0.54,2662.04
186,0.54,2662.05
187,0.54,2662.07
188,0.54,2662.08
189,0.54,2662.09
190,0.54,2662.11
191,0.54,2662.12
192,0.54,2662.13
193,0.54,2662.14
194,0.54,2662.14
195,0.54,2662.15
196,0.54,2662.16
197,0.54,2662.17
198,0.54,2662.17
199,0.54,2662.18
200,0.54,2662.18
201,0.54,2662.19
202,0.54,2662.19
203,0.54,2662.2
204,0.54,2662.2
205,0.54,2662.21
206,0.54,2662.21
207,0.54,2662.21
208,0.54,2662.21
209,0.54,2662.22
210,0.54,2662.22
211,0.54,2662.22
212,0.54,2662.22
213,0.54,2662.23
214,0.54,2662.23
215,0.54,2662.23
216,0.54,2662.23
217,0.54,2662.23
218,0.54,2662.23
219,0.54,2662.24
220,0.54,2662.24
221,0.54,2662.24
222,0.54,2662.24
223,0.54,2662.24
224,0.54,2662.24
225,0.54,2662.24
226,0.54,2662.24
227,0.54,2662.24
228,0.54,2662.24
229,0.54,2662.25
230,0.54,2662.25
231,0.54,2662.25
232,0.54,2662.25
233,0.54,2662.25
234,0.54,2662.25
235,0.54,2662.25
236,0.54,2662.25
237,0.54,2662.25
238,0.54,2662.25
239,0.54,2662.25
240,0.54,2662.25
241,0.54,2526.73
242,0.54,2401.04
243,0.54,2284.45
244,0.54,2176.32
245,0.54,2076.03
246,0.54,1983.01
247,0.54,1896.74
248,0.54,1816.72
249,0.54,1742.5
250,0.54,1673.66
251,0.54,1609.82
252,0.54,1550.6
253,0.54,1495.67
254,0.54,1444.73
255,0.54,1397.48
256,0.54,1353.66
257,0.54,1313.01
258,0.54,1275.31
259,0.54,1240.34
260,0.54,1207.91
261,0.54,1177.83
262,0.54,1149.93
263,0.54,1124.05
264,0.54,1100.05
265,0.54,1077.79
266,0.54,1057.15
267,0.54,1038
268,0.54,1020.24
269,0.54,1003.76
270,0.54,988.482
271,0.54,974.311
272,0.54,961.167
273,0.54,948.975
274,0.54,937.668
275,0.54,927.18
276,0.54,917.453
277,0.54,908.431
278,0.54,900.063
279,0.54,892.302
280,0.54,885.103
281,0.54,878.427
282,0.54,872.234
283,0.54,866.49
284,0.54,861.163
285,0.54,856.222
286,0.54,851.639
287,0.54,847.389
288,0.54,843.447
289,0.54,839.79
290,0.54,836.399
291,0.54,833.253
292,0.54,830.336
293,0.54,827.63
294,0.54,825.12
295,0.54,822.792
296,0.54,820.633
297,0.54,818.63
298,0.54,816.773
299,0.54,815.05
300,0.54,813.452
301,0.54,754.477
302,0.54,699.777
303,0.54,649.044
304,0.54,601.988
305,0.54,558.344
306,0.54,517.864
307,0.54,480.319
308,0.54,445.496
309,0.54,413.197
310,0.54,383.24
311,0.54,355.455
312,0.54,329.685
313,0.54,305.783
314,0.54,283.614
315,0.54,263.052
316,0.54,243.98
317,0.54,226.292
318,0.54,209.886
319,0.54,194.669
320,0.54,180.555
321,0.54,167.465
322,0.54,155.324
323,0.54,144.063
324,0.54,133.618
325,0.54,123.931
326,0.54,114.946
327,0.54,106.612
328,0.54,98.883
329,0.54,91.714
330,0.54,85.0648
331,0.54,78.8976
332,0.54,73.1775
333,0.54,67.8721
334,0.54,62.9514
335,0.54,58.3874
336,0.54,54.1543
337,0.54,50.2281
338,0.54,46.5866
339,0.54,43.2091
340,0.54,40.0764
341,0.54,37.1709
342,0.54,34.476
343,0.54,31.9765
344,0.54,29.6582
345,0.54,27.508
346,0.54,25.5136
347,0.54,23.6639
348,0.54,21.9483
349,0.54,20.357
350,0.54,18.8811
351,0.54,17.5123
352,0.54,16.2426
353,0.54,15.065
354,0.54,13.9728
355,0.54,12.9598
356,0.54,12.0202
357,0.54,11.1487
358,0.54,10.3404
359,0.54,9.59077
360,0.54,8.89544
361,0.54,8.25052
362,0.54,7.65235
363,0.54,7.09756
