t_s,Q_m3_s,hm_Ethanol_m_s,hm_Propyl acetate_m_s,hm_1-Propanol_m_s,hm_Isopropanol_m_s
1,0.903153,0.00132988,0.00104526,0.00117277,0.00115907
2,0.902174,0.00132916,0.00104469,0.00117214,0.00115844
3,0.90083,0.00132817,0.00104392,0.00117126,0.00115758
4,0.899171,0.00132695,0.00104295,0.00117018,0.00115651
5,0.89723,0.00132551,0.00104183,0.00116892,0.00115527
6,0.895042,0.0013239,0.00104056,0.0011675,0.00115386
7,0.892642,0.00132212,0.00103916,0.00116593,0.00115231
8,0.890051,0.0013202,0.00103765,0.00116424,0.00115063
9,0.887293,0.00131815,0.00103604,0.00116243,0.00114885
10,0.884392,0.001316,0.00103435,0.00116053,0.00114697
11,0.88136,0.00131374,0.00103257,0.00115854,0.001145
12,0.878218,0.00131139,0.00103073,0.00115647,0.00114296
13,0.874973,0.00130897,0.00102883,0.00115433,0.00114085
14,0.871643,0.00130648,0.00102687,0.00115213,0.00113867
15,0.868237,0.00130392,0.00102486,0.00114988,0.00113645
16,0.864761,0.00130131,0.0010228,0.00114758,0.00113417
17,0.861223,0.00129864,0.00102071,0.00114523,0.00113185
18,0.857633,0.00129593,0.00101858,0.00114284,0.00112949
19,0.853996,0.00129318,0.00101642,0.00114041,0.00112709
20,0.850316,0.00129039,0.00101423,0.00113795,0.00112466
21,0.846599,0.00128757,0.00101201,0.00113546,0.0011222
22,0.842848,0.00128471,0.00100976,0.00113294,0.00111971
23,0.839066,0.00128183,0.00100749,0.0011304,0.00111719
24,0.835259,0.00127892,0.00100521,0.00112783,0.00111466
25,0.831424,0.00127598,0.0010029,0.00112524,0.00111209
26,0.827584,0.00127303,0.00100058,0.00112264,0.00110952
27,0.823823,0.00127013,0.000998301,0.00112008,0.001107
28,0.820044,0.00126722,0.000996008,0.00111751,0.00110446
29,0.81625,0.00126428,0.000993701,0.00111492,0.0011019
30,0.81244,0.00126133,0.000991379,0.00111232,0.00109932
31,0.808615,0.00125835,0.000989043,0.0011097,0.00109673
32,0.804779,0.00125537,0.000986694,0.00110706,0.00109413
33,0.80093,0.00125236,0.000984332,0.00110441,0.00109151
34,0.796862,0.00124918,0.000981829,0.0011016,0.00108873
35,0.792717,0.00124592,0.000979272,0.00109873,0.0010859
36,0.788563,0.00124265,0.000976703,0.00109585,0.00108305
37,0.784399,0.00123937,0.000974121,0.00109295,0.00108019
38,0.780225,0.00123607,0.000971525,0.00109004,0.00107731
39,0.776041,0.00123275,0.000968917,0.00108712,0.00107442
40,0.771849,0.00122941,0.000966297,0.00108418,0.00107151
41,0.767649,0.00122606,0.000963664,0.00108122,0.00106859
42,0.76344,0.0012227,0.000961019,0.00107825,0.00106566
43,0.759226,0.00121932,0.000958362,0.00107527,0.00106271
44,0.755002,0.00121592,0.000955693,0.00107228,0.00105975
45,0.750772,0.00121251,0.000953012,0.00106927,0.00105678
46,0.746532,0.00120908,0.000950317,0.00106625,0.00105379
47,0.742287,0.00120564,0.000947611,0.00106321,0.00105079
48,0.738032,0.00120218,0.000944891,0.00106016,0.00104777
49,0.733774,0.00119871,0.000942162,0.0010571,0.00104475
50,0.729507,0.00119522,0.000939418,0.00105402,0.00104171
51,0.725234,0.00119171,0.000936663,0.00105093,0.00103865
52,0.720954,0.00118819,0.000933895,0.00104782,0.00103558
53,0.716668,0.00118465,0.000931115,0.0010447,0.0010325
54,0.712373,0.0011811,0.000928321,0.00104157,0.0010294
55,0.708075,0.00117753,0.000925516,0.00103842,0.00102629
56,0.703768,0.00117394,0.000922697,0.00103526,0.00102316
57,0.699458,0.00117034,0.000919867,0.00103208,0.00102002
58,0.695138,0.00116672,0.000917022,0.00102889,0.00101687
59,0.690815,0.00116309,0.000914166,0.00102569,0.0010137
60,0.686483,0.00115944,0.000911295,0.00102246,0.00101052
61,0.682145,0.00115577,0.000908411,0.00101923,0.00100732
62,0.6778,0.00115208,0.000905514,0.00101598,0.00100411
63,0.673453,0.00114838,0.000902605,0.00101271,0.00100088
64,0.669096,0.00114466,0.000899681,0.00100943,0.000997641
65,0.664736,0.00114092,0.000896745,0.00100614,0.000994386
66,0.660367,0.00113717,0.000893793,0.00100283,0.000991112
67,0.655993,0.0011334,0.000890828,0.000999501,0.000987825
68,0.651614,0.00112961,0.000887849,0.000996159,0.000984521
69,0.647229,0.0011258,0.000884857,0.000992801,0.000981203
70,0.642835,0.00112197,0.000881849,0.000989426,0.000977867
71,0.638438,0.00111813,0.000878828,0.000986036,0.000974517
72,0.634035,0.00111427,0.000875792,0.00098263,0.000971151
73,0.629626,0.00111038,0.000872741,0.000979207,0.000967768
74,0.625213,0.00110649,0.000869678,0.00097577,0.000964371
75,0.620792,0.00110257,0.000866597,0.000972314,0.000960955
76,0.616364,0.00109863,0.000863501,0.00096884,0.000957522
77,0.611933,0.00109467,0.000860392,0.000965351,0.000954074
78,0.607496,0.0010907,0.000857267,0.000961845,0.000950609
79,0.603053,0.0010867,0.000854126,0.000958321,0.000947126
80,0.598603,0.00108268,0.000850969,0.000954779,0.000943625
81,0.594151,0.00107865,0.000847798,0.000951222,0.000940109
82,0.589689,0.00107459,0.000844609,0.000947643,0.000936573
83,0.585224,0.00107052,0.000841405,0.000944049,0.00093302
84,0.580753,0.00106642,0.000838185,0.000940436,0.000929449
85,0.576279,0.0010623,0.00083495,0.000936806,0.000925862
86,0.571795,0.00105816,0.000831696,0.000933155,0.000922253
87,0.567309,0.001054,0.000828426,0.000929487,0.000918628
88,0.562819,0.00104982,0.000825142,0.000925801,0.000914986
89,0.558323,0.00104562,0.00082184,0.000922096,0.000911324
90,0.553821,0.0010414,0.00081852,0.000918371,0.000907643
91,0.549313,0.00103715,0.000815181,0.000914626,0.000903941
92,0.544802,0.00103288,0.000811827,0.000910862,0.000900221
93,0.540284,0.00102859,0.000808454,0.000907078,0.000896481
94,0.54,0.00102832,0.000808242,0.000906839,0.000896245
95,0.54,0.00102832,0.000808242,0.000906839,0.000896245
96,0.54,0.00102832,0.000808242,0.000906839,0.000896245
97,0.54,0.00102832,0.000808242,0.000906839,0.000896245
98,0.54,0.00102832,0.000808242,0.000906839,0.000896245
99,0.54,0.00102832,0.000808242,0.000906839,0.000896245
100,0.54,0.00102832,0.000808242,0.000906839,0.000896245
101,0.54,0.00102832,0.000808242,0.000906839,0.000896245
102,0.54,0.00102832,0.000808242,0.000906839,0.000896245
103,0.54,0.00102832,0.000808242,0.000906839,0.000896245
104,0.54,0.00102832,0.000808242,0.000906839,0.000896245
105,0.54,0.00102832,0.000808242,0.000906839,0.000896245
106,0.54,0.00102832,0.000808242,0.000906839,0.000896245
107,0.54,0.00102832,0.000808242,0.000906839,0.000896245
108,0.54,0.00102832,0.000808242,0.000906839,0.000896245
109,0.54,0.00102832,0.000808242,0.000906839,0.000896245
110,0.54,0.00102832,0.000808242,0.000906839,0.000896245
111,0.54,0.00102832,0.000808242,0.000906839,0.000896245
112,0.54,0.00102832,0.000808242,0.000906839,0.000896245
113,0.54,0.00102832,0.000808242,0.000906839,0.000896245
114,0.54,0.00102832,0.000808242,0.000906839,0.000896245
115,0.54,0.00102832,0.000808242,0.000906839,0.000896245
116,0.54,0.00102832,0.000808242,0.000906839,0.000896245
117,0.54,0.00102832,0.000808242,0.000906839,0.000896245
118,0.54,0.00102832,0.000808242,0.000906839,0.000896245
119,0.54,0.00102832,0.000808242,0.000906839,0.000896245
120,0.54,0.00102832,0.000808242,0.000906839,0.000896245
121,0.54,0.00102832,0.000808242,0.000906839,0.000896245
